ID_RECORD;date_time;latitude;longitude
1;2014-02-01 00:00:00.739166;41.8836718276551;12.4877775603346
2;2014-02-01 00:00:01.148457;41.9285433333333;12.4690366666667
3;2014-02-01 00:00:01.220066;41.8910686119733;12.4927045625339
4;2014-02-01 00:00:01.470854;41.7931766914244;12.4321219603157
5;2014-02-01 00:00:01.631136;41.90027472;12.46274618
6;2014-02-01 00:00:02.048546;41.8523047579646;12.5774065771898
7;2014-02-01 00:00:02.647839;41.8921718255185;12.4696996165151
8;2014-02-01 00:00:02.709888;41.9102125627332;12.4770004336041
9;2014-02-01 00:00:03.458195;41.8658208551143;12.4655221109313
10;2014-02-01 00:00:03.707117;41.8967831636848;12.4821987021152
11;2014-02-01 00:00:04.232912;41.9230874882779;12.502203541278
12;2014-02-01 00:00:04.436445;41.9068137897371;12.4902083997946
13;2014-02-01 00:00:04.487352;41.9100508227258;12.4966092132391
14;2014-02-01 00:00:05.182068;41.9175592169096;12.5132735176741
15;2014-02-01 00:00:05.429831;41.8922298239912;12.469779213474
16;2014-02-01 00:00:06.06672;41.8971435606299;12.4729530904655
17;2014-02-01 00:00:06.362172;41.9055040692911;12.4450642615557
18;2014-02-01 00:00:06.508353;41.9101993407516;12.4770016466739
19;2014-02-01 00:00:06.830676;41.9219318791848;12.4907898873581
20;2014-02-01 00:00:07.028304;41.9198850823211;12.5027184760708
21;2014-02-01 00:00:07.040664;41.8978325324133;12.4693947471678
22;2014-02-01 00:00:07.122411;41.9226663915447;12.4871261442344
23;2014-02-01 00:00:07.311678;41.9224726036191;12.487366637215
24;2014-02-01 00:00:07.629026;41.89724661;12.47285113
25;2014-02-01 00:00:07.774661;41.8832317105311;12.4692101233239
26;2014-02-01 00:00:07.820636;41.9219318791848;12.4907898873581
27;2014-02-01 00:00:08.452163;41.9004122222972;12.4728368659278
28;2014-02-01 00:00:08.646102;41.8904533333333;12.4741966666667
29;2014-02-01 00:00:09.135615;41.8957895596184;12.4719204209153
30;2014-02-01 00:00:09.207596;41.884861232788;12.470642809741
31;2014-02-01 00:00:09.534952;41.8937974842265;12.4703800398856
32;2014-02-01 00:00:09.889075;41.9038292750994;12.4844517125394
33;2014-02-01 00:00:10.098237;41.900065357512;12.4572887201218
34;2014-02-01 00:00:10.168741;41.9081300994706;12.5043668987191
35;2014-02-01 00:00:10.198107;41.9331899516031;12.5117847048568
36;2014-02-01 00:00:10.709166;41.8959019919821;12.4768818873779
37;2014-02-01 00:00:10.733119;41.8552883890016;12.4771413579851
38;2014-02-01 00:00:10.855133;41.7915396179775;12.2502862040602
39;2014-02-01 00:00:11.214262;41.897783275213;12.4693312066563
40;2014-02-01 00:00:11.336365;41.8345933772036;12.4716641521793
41;2014-02-01 00:00:11.8629;41.8959076848405;12.4827594572545
42;2014-02-01 00:00:12.098922;41.9109088398783;12.4772815796834
43;2014-02-01 00:00:12.23614;41.8912020048345;12.5025479627347
44;2014-02-01 00:00:12.341827;41.9246361238323;12.4862287031811
45;2014-02-01 00:00:12.578331;41.8978418925033;12.4684204086267
46;2014-02-01 00:00:12.880149;41.96531436;12.45640665
47;2014-02-01 00:00:12.926514;41.921767916889;12.4850695093216
48;2014-02-01 00:00:13.311114;41.8898128219691;12.4745070406691
49;2014-02-01 00:00:13.400034;41.9003116666667;12.4727383333333
50;2014-02-01 00:00:13.406692;41.857382669784;12.491181180781
51;2014-02-01 00:00:13.447509;41.8938279471136;12.4758196948506
52;2014-02-01 00:00:13.520508;41.9286143581594;12.4773909315309
53;2014-02-01 00:00:13.851515;41.8972219549272;12.4727742184704
54;2014-02-01 00:00:16.002329;41.7950459730928;12.4349096543292
55;2014-02-01 00:00:16.117597;41.90028989;12.462724
56;2014-02-01 00:00:16.154119;41.9267616666667;12.4697633333333
57;2014-02-01 00:00:16.209002;41.8912969309336;12.4909423655086
58;2014-02-01 00:00:16.475794;41.8836033504296;12.4884353827295
59;2014-02-01 00:00:17.05421;41.8526620389391;12.5778460793785
60;2014-02-01 00:00:18.010402;41.8650747304238;12.4650680095904
61;2014-02-01 00:00:19.152635;41.8921911088577;12.4697191103714
62;2014-02-01 00:00:19.412508;41.8981761491255;12.4815512391248
63;2014-02-01 00:00:19.474202;41.9100508227258;12.4966092132391
64;2014-02-01 00:00:19.503511;41.9218261089452;12.5009061654808
65;2014-02-01 00:00:19.765361;41.9068137897371;12.4902083997946
66;2014-02-01 00:00:19.833126;41.84065284169;12.5919930213649
67;2014-02-01 00:00:20.138366;41.9174146914442;12.513083602414
68;2014-02-01 00:00:20.43261;41.8922298239912;12.469779213474
69;2014-02-01 00:00:20.926085;41.9101993407516;12.4770016466739
70;2014-02-01 00:00:21.033058;41.8971435606299;12.4729530904655
71;2014-02-01 00:00:21.101901;41.9197355164216;12.5026134891681
72;2014-02-01 00:00:21.47521;41.9226663915447;12.4871261442344
73;2014-02-01 00:00:21.975626;41.8978325324133;12.4693947471678
74;2014-02-01 00:00:22.484333;41.8840619264952;12.4698873272465
75;2014-02-01 00:00:22.747757;41.8446062529282;12.5941577570106
76;2014-02-01 00:00:22.7484;41.8446062529282;12.5941577570106
77;2014-02-01 00:00:22.754134;41.9068366242573;12.4465227965266
78;2014-02-01 00:00:23.49017;41.9004122222972;12.4728368659278
79;2014-02-01 00:00:23.49979;41.8957895596184;12.4719204209153
80;2014-02-01 00:00:23.86684;41.8914033333333;12.4746266666667
81;2014-02-01 00:00:24.04556;41.89724633;12.47285075
82;2014-02-01 00:00:24.230733;41.884861232788;12.470642809741
83;2014-02-01 00:00:24.328023;41.8453117623572;12.5945532574323
84;2014-02-01 00:00:24.512062;41.8929914804175;12.4712211638689
85;2014-02-01 00:00:24.654386;41.9331899516031;12.5117847048568
86;2014-02-01 00:00:25.462468;41.8996410432057;12.4618550005358
87;2014-02-01 00:00:25.632406;41.7904902001173;12.2506423858324
88;2014-02-01 00:00:25.697679;41.8568358908155;12.4773773385372
89;2014-02-01 00:00:25.734882;41.9042511737689;12.4839190072599
90;2014-02-01 00:00:25.774039;41.9086630527271;12.5066009228874
91;2014-02-01 00:00:26.324962;41.8355646058252;12.4721527618107
92;2014-02-01 00:00:26.51784;41.8965482794286;12.4822388991087
93;2014-02-01 00:00:26.863984;41.9110568385551;12.4759366815692
94;2014-02-01 00:00:26.960028;41.897783275213;12.4693312066563
95;2014-02-01 00:00:27.385506;41.9233601620156;12.4881576445332
96;2014-02-01 00:00:27.428065;41.96574508;12.45579244
97;2014-02-01 00:00:27.574064;41.8978418925033;12.4684204086267
98;2014-02-01 00:00:27.928599;41.9234351813793;12.4855416454375
99;2014-02-01 00:00:27.939364;41.9219959240361;12.4828460642701
100;2014-02-01 00:00:28.419832;41.8948047415524;12.476465931979
